phase,phrase_id,phrase,source_file,archived_to,sha16,duration_seconds,voice,note
archive_old_exact,393,Feliĉan Dankotagon!,0238_felicxan_dankotagon.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/0238_felicxan_dankotagon.wav,f44030ad8af6ad9e,1.950,,pre-regeneration current exact (known stale)
archive_old_legacy,393,Feliĉan Dankotagon!,0238_felicxan_dankagadon.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/0238_felicxan_dankagadon.wav,f44030ad8af6ad9e,1.950,,legacy alias retained in root before cleanup
install_new_exact,393,Feliĉan Dankotagon!,0238_felicxan_dankotagon.wav,,ee2f008102a9b980,1.985,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,419,Mi iom perdis la praktikon,0264_mi_iom_perdis_la_praktikon.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/0264_mi_iom_perdis_la_praktikon.wav,0c3896f76586a8b1,2.325,,pre-regeneration current exact (known stale)
archive_old_legacy,419,Mi iom perdis la praktikon,0264_mi_iom_elpraktikigxis.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/0264_mi_iom_elpraktikigxis.wav,0c3896f76586a8b1,2.325,,legacy alias retained in root before cleanup
install_new_exact,419,Mi iom perdis la praktikon,0264_mi_iom_perdis_la_praktikon.wav,,46838d76989c671b,2.475,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,2048,Vi havas tro da manbagaĝo,1893_vi_havas_tro_da_manbagagxo.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/1893_vi_havas_tro_da_manbagagxo.wav,a2981727eebe99f2,2.485,,pre-regeneration current exact (known stale)
archive_old_legacy,2048,Vi havas tro da manbagaĝo,1893_vi_havas_tro_da_manbagajxo.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/1893_vi_havas_tro_da_manbagajxo.wav,a2981727eebe99f2,2.485,,legacy alias retained in root before cleanup
install_new_exact,2048,Vi havas tro da manbagaĝo,1893_vi_havas_tro_da_manbagagxo.wav,,b2cb5def24b94b03,2.480,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,2430,Ĉi tiu trajno estas troplena,2275_cxi_tiu_trajno_estas_troplena.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/2275_cxi_tiu_trajno_estas_troplena.wav,d5032adfcf83e40c,2.885,,pre-regeneration current exact (known stale)
archive_old_legacy,2430,Ĉi tiu trajno estas troplena,2275_cxi_tiu_trajno_estas_troamplena.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/2275_cxi_tiu_trajno_estas_troamplena.wav,d5032adfcf83e40c,2.885,,legacy alias retained in root before cleanup
install_new_exact,2430,Ĉi tiu trajno estas troplena,2275_cxi_tiu_trajno_estas_troplena.wav,,fffee42f8e9e2a62,2.715,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,4714,Bonvolu montri al mi kelkajn kadrojn,4559_bonvolu_montri_al_mi_kelkajn_kadrojn.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4559_bonvolu_montri_al_mi_kelkajn_kadrojn.wav,73edf63db97639b6,3.320,,pre-regeneration current exact (known stale)
archive_old_legacy,4714,Bonvolu montri al mi kelkajn kadrojn,4559_bonvolu_montri_al_mi_kelkajn_monturojn.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4559_bonvolu_montri_al_mi_kelkajn_monturojn.wav,73edf63db97639b6,3.320,,legacy alias retained in root before cleanup
install_new_exact,4714,Bonvolu montri al mi kelkajn kadrojn,4559_bonvolu_montri_al_mi_kelkajn_kadrojn.wav,,144fa4ec0171e10f,3.075,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,4724,La kadro de ĉi tiuj okulvitroj estas rompita,4569_la_kadro_de_cxi_tiuj_okulvitroj_estas_rompita.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4569_la_kadro_de_cxi_tiuj_okulvitroj_estas_rompita.wav,d03ef27ab300967e,4.215,,pre-regeneration current exact (known stale)
archive_old_legacy,4724,La kadro de ĉi tiuj okulvitroj estas rompita,4569_la_montumo_de_cxi_tiuj_okulvitroj_estas_rompita.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4569_la_montumo_de_cxi_tiuj_okulvitroj_estas_rompita.wav,d03ef27ab300967e,4.215,,legacy alias retained in root before cleanup
install_new_exact,4724,La kadro de ĉi tiuj okulvitroj estas rompita,4569_la_kadro_de_cxi_tiuj_okulvitroj_estas_rompita.wav,,ee352e836ae6f964,4.020,spomenka,regenerated from current CSV phrase with RHVoice-test
archive_old_exact,4725,Kiom kostas ĉi tiuj dizajnistaj kadroj?,4570_kiom_kostas_cxi_tiuj_dizajnistaj_kadroj.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4570_kiom_kostas_cxi_tiuj_dizajnistaj_kadroj.wav,51dfc6b624d6a1ab,3.750,,pre-regeneration current exact (known stale)
archive_old_legacy,4725,Kiom kostas ĉi tiuj dizajnistaj kadroj?,4570_kiom_kostas_cxi_tiuj_dizajnistaj_monturoj.wav,fuyou/archived_replaced_audio_20260307_rhvoice_fix/4570_kiom_kostas_cxi_tiuj_dizajnistaj_monturoj.wav,51dfc6b624d6a1ab,3.750,,legacy alias retained in root before cleanup
install_new_exact,4725,Kiom kostas ĉi tiuj dizajnistaj kadroj?,4570_kiom_kostas_cxi_tiuj_dizajnistaj_kadroj.wav,,f4e1fd436ff6fd72,3.590,spomenka,regenerated from current CSV phrase with RHVoice-test
