PhraseID,phrase,voice,output_file,matched_audio_file,status
190,Delonge ni ne intervidiĝis,spomenka,0035_delonge_ni_ne_intervidigxis.wav,0035_delonge_ni_ne_vidigxis.wav,generated
374,"Vian atenton, mi petas!",spomenka,0219_vian_atenton_mi_petas.wav,0219_cxu_mi_povus_havi_vian_atenton.wav,generated
753,Ĉu vi bonvolus diri al mi vian nomon kaj adreson?,spomenka,0598_cxu_vi_bonvolus_diri_al_mi_vian_nomon_kaj_adreson.wav,0598_cxu_mi_povas_havi_vian_nomon_kaj_adreson.wav,generated
769,Vi fartos bone,spomenka,0614_vi_fartos_bone.wav,0614_cxio_estos_bone_kun_vi.wav,generated
1201,Ni manĝu eksterhejme hodiaŭ vespere,spomenka,1046_ni_mangxu_eksterhejme_hodiaux_vespere.wav,1046_ni_mangxu_ekstere_hodiaux_vespere.wav,generated
1208,Ĉu vi havas amrilaton kun iu?,spomenka,1053_cxu_vi_havas_amrilaton_kun_iu.wav,1053_cxu_vi_renkontigxas_kun_iu.wav,generated
1559,Per kio vi vivtenas vin?,spomenka,1404_per_kio_vi_vivtenas_vin.wav,1404_per_kio_vi_gajnas_vian_vivon.wav,generated
1703,Ĉu vi estas lerta pri komputiloj?,spomenka,1548_cxu_vi_estas_lerta_pri_komputiloj.wav,1548_cxu_vi_estas_komputile_klera.wav,generated
1734,Ĉu oni repagos al mi la vojaĝkostojn?,spomenka,1579_cxu_oni_repagos_al_mi_la_vojagxkostojn.wav,1579_cxu_mi_ricevos_vojagxkostojn.wav,generated
1764,Ŝi estos tre valora por via programo,spomenka,1609_sxi_estos_tre_valora_por_via_programo.wav,1609_sxi_estos_bonega_aldono_al_via_programo.wav,generated
1841,Iru plu rekte antaŭen ĉirkaŭ unu kilometron,spomenka,1686_iru_plu_rekte_antauxen_cxirkaux_unu_kilometron.wav,1686_dauxrigu_rekte_antauxen_cxirkaux_unu_kilometron.wav,generated
1853,Iru plu preter la fajrobrigadejo,spomenka,1698_iru_plu_preter_la_fajrobrigadejo.wav,1698_dauxrigu_preter_la_fajrobrigadejo.wav,generated
1854,Iru plu ankoraŭ ducent metrojn,spomenka,1699_iru_plu_ankoraux_ducent_metrojn.wav,1699_dauxrigu_ankoraux_ducent_metrojn.wav,generated
1855,Iru plu ankoraŭ duonkilometron,spomenka,1700_iru_plu_ankoraux_duonkilometron.wav,1700_dauxrigu_ankoraux_duonkilometron.wav,generated
1856,Iru plu rekte preter kelkaj semaforoj,spomenka,1701_iru_plu_rekte_preter_kelkaj_semaforoj.wav,1701_dauxrigu_rekte_preter_kelkaj_semaforoj.wav,generated
1968,En ĉi tiu aviadilo ne plu estas lokoj,spomenka,1813_en_cxi_tiu_aviadilo_ne_plu_estas_lokoj.wav,1813_sur_cxi_tiu_aviadilo_ne_plu_estas_lokoj.wav,generated
1987,Ĉu estas liberaj lokoj por ĉi tiu flugo?,spomenka,1832_cxu_estas_liberaj_lokoj_por_cxi_tiu_flugo.wav,1832_cxu_estas_liberaj_lokoj_sur_cxi_tiu_flugo.wav,generated
2158,"Ĉu en la aviadilo estas stevardino, kiu parolas la hebrean?",spomenka,2003_cxu_en_la_aviadilo_estas_stevardino_kiu_parolas_la_hebrean.wav,2003_cxu_sur_la_aviadilo_estas_stevardino_kiu_parolas_la_hebrean.wav,generated
2620,Ĉu en la ĉambro estas televidilo?,spomenka,2465_cxu_en_la_cxambro_estas_televidilo.wav,2465_cxu_en_la_cxambro_estas_televido.wav,generated
2640,Mi ŝatus rezervi,spomenka,2485_mi_sxatus_rezervi.wav,2485_mi_sxatus_fari_rezervon.wav,generated
2684,Mi rezervis,spomenka,2529_mi_rezervis.wav,2529_mi_faris_rezervon.wav,generated
2704,Ĉambroj estas rezervitaj por mi kaj mia familio,spomenka,2549_cxambroj_estas_rezervitaj_por_mi_kaj_mia_familio.wav,2549_rezervoj_estis_faritaj_por_mi_kaj_mia_familio.wav,generated
2918,Ĉu vi povus rezervi tablon por mi?,spomenka,2763_cxu_vi_povus_rezervi_tablon_por_mi.wav,2763_cxu_vi_povus_fari_rezervon_por_mi.wav,generated
2925,"Kien vi kutime iras, kiam vi manĝas eksterhejme?",spomenka,2770_kien_vi_kutime_iras_kiam_vi_mangxas_eksterhejme.wav,2770_kien_vi_kutime_iras_kiam_vi_mangxas_ekstere.wav,generated
3013,Kion vi ŝatus mendi?,spomenka,2858_kion_vi_sxatus_mendi.wav,2858_kion_vi_sxatus_havi.wav,generated
3053,Ĉu la manĝaĵo estas servata kun legomoj?,spomenka,2898_cxu_la_mangxajxo_estas_servata_kun_legomoj.wav,2898_cxu_la_mangxajxo_venas_kun_legomoj.wav,generated
3248,Li prenos kradrostitan karpon,spomenka,3093_li_prenos_kradrostitan_karpon.wav,3093_li_havos_kradrostitan_karpon.wav,generated
3298,Li manĝos kelkajn tomatojn,spomenka,3143_li_mangxos_kelkajn_tomatojn.wav,3143_li_havos_kelkajn_tomatojn.wav,generated
3334,Li manĝos iom da faboj,spomenka,3179_li_mangxos_iom_da_faboj.wav,3179_li_havos_iom_da_faboj.wav,generated
3568,Ĉu instrukcioj estas inkluzivitaj?,spomenka,3413_cxu_instrukcioj_estas_inkluzivitaj.wav,3413_cxu_gxi_venas_kun_instrukcioj.wav,generated
3788,Tiam mi iros aliloken,spomenka,3633_tiam_mi_iros_aliloken.wav,3633_tiam_mi_iros_ien_alian.wav,generated
4171,"Ĉu vi volas, ke mi ŝaltu la televidilon?",spomenka,4016_cxu_vi_volas_ke_mi_sxaltu_la_televidilon.wav,4016_cxu_vi_volas_ke_mi_sxaltu_la_televidon.wav,generated
4284,Mi ŝatus elpreni monon,spomenka,4129_mi_sxatus_elpreni_monon.wav,4129_mi_sxatus_fari_retiron.wav,generated
4341,Necesas kaŭcio egala al unu-monata lupago,spomenka,4186_necesas_kauxcio_egala_al_unu_monata_lupago.wav,4186_necesas_deponajxo_je_unu_monata_lupago.wav,generated
4411,Ĉu mi metu ion sur la harojn?,spomenka,4256_cxu_mi_metu_ion_sur_la_harojn.wav,4256_cxu_vi_sxatus_ion_sur_gxi.wav,generated
4419,Mi ŝatus haŭtflegadon de la vizaĝo,spomenka,4264_mi_sxatus_hauxtflegadon_de_la_vizagxo.wav,4264_mi_sxatus_havi_traktadon_de_la_vizagxo.wav,generated
4455,Ĉu vi povas ripari la televidilon?,spomenka,4300_cxu_vi_povas_ripari_la_televidilon.wav,4300_cxu_vi_povas_ripari_la_televidon.wav,generated
4561,Mi havas kapturnon,spomenka,4406_mi_havas_kapturnon.wav,4406_mi_sentas_min_kapturna.wav,generated
4650,Vi devus redukti vian alkoholtrinkadon,spomenka,4495_vi_devus_redukti_vian_alkoholtrinkadon.wav,4495_vi_devus_redukti_vian_trinkadon.wav,generated
4708,Li bezonas fortajn okulvitrojn,spomenka,4553_li_bezonas_fortajn_okulvitrojn.wav,4553_li_havas_grandajn_dioptriojn.wav,generated
4871,"Je kioma horo oni atendas, ke li revenos?",spomenka,4716_je_kioma_horo_oni_atendas_ke_li_revenos.wav,4716_je_kioma_horo_li_estas_atendata_reveni.wav,generated
